Cyber Shadow,C:\users\xuser\AppData\Roaming\Yacht Club Games\CyberShadow\save
Shovel Knight,C:\users\xuser\AppData\Roaming\Yacht Club Games\Shovel Knight
Ion Fury,C:\users\xuser\AppData\Roaming\Ion Fury
Shantae Half-Genie Hero,C:\users\xuser\AppData\Roaming\Wayforward\ShantaeHeroUltimate
Return to Castle Wolfenstein,C:\GOG Games\Return to Castle Wolfenstein\Main\save
Wolfenstein 2009,C:\users\xuser\AppData\Local\id Software\WolfSP\base\savegames
Wolfenstein The New Order,C:\users\xuser\Saved Games\MachineGames\Wolfenstein The New Order\base\savegame
S.W.I.N.E. HD Remaster,C:\users\xuser\AppData\Local\Kite Games\Swine\savegames
Mass Effect,C:\users\xuser\Documents\BioWare\Mass Effect\Save
Mass Effect 2,C:\users\xuser\Documents\BioWare\Mass Effect 2\Save
Mass Effect 3,C:\users\xuser\Documents\BioWare\Mass Effect 3\Save
Batman Arkham City GOTY,C:\users\xuser\Documents\WB Games\Batman Arkham City GOTY\SaveData
Driver Parallel Lines,C:\users\xuser\Documents\My Games\Driver Parallel Lines
Fallout 3,C:\users\xuser\Documents\My Games\Fallout3\Saves
Fallout 4,C:\users\xuser\Documents\My Games\Fallout4\Saves
Fallout New Vegas,C:\users\xuser\Documents\My Games\FalloutNV\Saves
Grim Dawn,C:\users\xuser\Documents\My Games\Grim Dawn\save
Just Cause 2,C:\users\xuser\Documents\Square Enix\Just Cause 2\Saves
Oblivion,C:\users\xuser\Documents\My Games\Oblivion\Saves
Skyrim,C:\users\xuser\Documents\My Games\Skyrim Special Edition GOG\Saves
Sonic Generations,C:\users\xuser\Documents\My Games\Sonic Generations\Saved Games
SteamWorld Dig 2,C:\users\xuser\Documents\My Games\SteamWorld Dig 2
SteamWorld Heist,C:\users\xuser\Documents\My Games\SteamWorld Heist
SteamWorld Quest,C:\users\xuser\Documents\My Games\SteamWorld Quest
Tomb Raider,C:\users\xuser\Documents\My Games\Tomb Raider
Crysis,C:\users\xuser\Documents\My Games\Crysis\SaveGames
Crysis Warhead,C:\users\xuser\Documents\My Games\Crysis_WARHEAD\SaveGames
Guacamelee 2,C:\users\xuser\Documents\Guacamelee2
Command and Conquer 3 Tiberium Wars,C:\users\xuser\Saved Games\Command and Conquer 3 Tiberium Wars
Risen 2,C:\users\xuser\Saved Games\Risen2
Xanadu Next,C:\users\xuser\Saved Games\FALCOM\X_NEXT
Zwei The Ilvard Insurrection,C:\users\xuser\Saved Games\FALCOM\ZWEI2P
Front Mission Evolved,C:\users\xuser\AppData\Local\SKIDROW\SAVES\43000
Front Mission 1st Remake,C:\users\xuser\AppData\Local\GOG.com\Galaxy\Applications\56551820355323161
Front Mission 2 Remake,C:\users\xuser\AppData\LocalLow\Forever Entertainment S_A_\Front Mission 2_ Remake
La-Mulana,C:\users\xuser\Documents\NIGORO\La-Mulana\save
Quake 4,C:\GOG Games\Quake 4\q4base\savegames
Prey,C:\users\xuser\Saved Games\Arkane Studios\Prey\SaveGames
Morrowind,C:\Program Files\Bethesda Softworks\Morrowind\Saves
Singularity,C:\users\xuser\Documents\Singularity\RvGame\SaveData
Dark Souls II,C:\users\xuser\AppData\Roaming\DarkSoulsII
Dark Souls III,C:\users\xuser\AppData\Roaming\DarkSoulsIII
Rogue Legacy,C:\users\xuser\Documents\SavedGames\RogueLegacy
Deus Ex Human Revolution,C:\users\xuser\Documents\My Games\Deus Ex HRDC
Deus Ex Mankind Divided,C:\users\xuser\Documents\My Games\Deus Ex Mankind Divided\Saves
Sacred 2,C:\users\xuser\Saved Games\Ascaron Entertainment\Sacred 2
Nox,C:\GOG Games\Nox\Save
Second Sight,C:\GOG Games\Second Sight\profiles
UnderRail,C:\users\xuser\Documents\My Games\Underrail\Saves
Call of Juarez Gunslinger,C:\users\xuser\AppData\Local\Techland\COJGunslinger\out
Call of Juarez Bound in Blood,C:\users\xuser\Documents\Call of Juarez - Bound in Blood\Out
Star Wars Jedi Knight II,C:\GOG Games\Star Wars Jedi Knight II - Jedi Outcast\GameData\base\saves
Hitman 2,C:\GOG Games\Hitman 2 Silent Assassin\Save
Prince of Qin,C:\GOG Games\Prince of Qin\System\user
Warlords Battlecry III,C:\users\xuser\Documents\Warlords Battlecry III\Saved Games
